name,trend_days,momentum_days,vol_days,target_vol,top_n,sleeve_cap,cagr,vol,sharpe,max_dd,calmar,cvar1,worst_day,worst_month,end_multiple,current_allocation
"trend=250,mom=126,vol=126,target=0.08,top=2,cap=1.00",250,126,126,0.08,2,1.0,0.08654496738923201,0.07778030008175947,1.1084364742128898,-0.1168850319373016,0.7404281451166106,-0.020492650755813677,-0.02816147523952013,-0.05658606591908655,2.3688678410526505,"{""DBC"": 0.18228572270418578, ""SHY"": 0.5056283899082215, ""SPY"": 0.31208588738759274}"
"trend=150,mom=126,vol=21,target=0.08,top=2,cap=0.67",150,126,21,0.08,2,0.67,0.10339639252699251,0.08712540270655462,1.1755101517137314,-0.13964795046005896,0.7404075189529198,-0.02331557298270346,-0.03817632823510611,-0.08123765308718378,2.7796303675302094,"{""DBC"": 0.1765296331628622, ""SHY"": 0.42009811568444544, ""SPY"": 0.4033722511526924}"
"trend=250,mom=126,vol=126,target=0.08,top=3,cap=0.33",250,126,126,0.08,3,0.33,0.08373323131012311,0.06611386719437058,1.2520420832366086,-0.113093724310246,0.7403879553954799,-0.01755237828452546,-0.02816147523952013,-0.050295667340707784,2.305943481894541,"{""DBC"": 0.12152381513612386, ""GLD"": 0.08285576376803921, ""SHY"": 0.5875631628374418, ""SPY"": 0.20805725825839516}"
"trend=200,mom=126,vol=63,target=0.06,top=2,cap=0.50",200,126,63,0.06,2,0.5,0.0670074337567641,0.06200327375052309,1.079346700256494,-0.09053425843330587,0.7401334579453882,-0.016469578673668564,-0.026111798282193954,-0.05419126790498219,1.961840986967958,"{""DBC"": 0.12226948337036529, ""SHY"": 0.6693666030632024, ""SPY"": 0.20836391356643236}"
"trend=100,mom=252,vol=21,target=0.10,top=3,cap=0.67",100,252,21,0.1,3,0.67,0.11969330166445058,0.09678596994956241,1.2192813941724696,-0.16174303779798005,0.7400213529682165,-0.026614053350111213,-0.0434782682402652,-0.08916719019999342,3.237028327779515,"{""DBC"": 0.14710802763571848, ""SHY"": 0.10245665504494894, ""SPY"": 0.33614354262724366, ""USMV"": 0.4142917746920889}"
"trend=100,mom=126,vol=21,target=0.10,top=2,cap=0.67",100,126,21,0.1,2,0.67,0.11241620524647566,0.10362681199609812,1.0823267411039486,-0.1520583582736751,0.7392964551422332,-0.027745744213160926,-0.0434782682402652,-0.08236448688614206,3.0249901770715826,"{""DBC"": 0.22066204145357773, ""SHY"": 0.2751226446055568, ""SPY"": 0.5042153139408655}"
"trend=250,mom=126,vol=21,target=0.06,top=2,cap=0.67",250,126,21,0.06,2,0.67,0.07763960435173667,0.06684747338893433,1.15448778992646,-0.10502393147867084,0.7392563129052581,-0.017800084956839116,-0.03109403808849229,-0.06641774047185278,2.1747272054311075,"{""DBC"": 0.13239722487214664, ""SHY"": 0.5650735867633341, ""SPY"": 0.30252918836451925}"
"trend=150,mom=126,vol=63,target=0.08,top=1,cap=0.50",150,126,63,0.08,1,0.5,0.0763453783588568,0.07910155354527053,0.9717306497123684,-0.10336863972578691,0.7385738901216405,-0.02012073871803472,-0.04001864393887489,-0.05113254936511169,2.1477426426973105,"{""DBC"": 0.3260519556543075, ""SHY"": 0.6739480443456924}"
"trend=250,mom=252,vol=126,target=0.08,top=3,cap=0.33",250,252,126,0.08,3,0.33,0.08350588560022265,0.06533615745633047,1.2629193119253763,-0.11309372431024589,0.7383777137902365,-0.016686558346907333,-0.03073456352152397,-0.050674802434093835,2.300922289338144,"{""DBC"": 0.12152381513612386, ""GLD"": 0.08285576376803921, ""SHY"": 0.5875631628374418, ""SPY"": 0.20805725825839516}"
"trend=250,mom=126,vol=63,target=0.08,top=2,cap=0.33",250,126,63,0.08,2,0.33,0.07840750381008665,0.0684329022278699,1.1397345287630156,-0.10620779886794185,0.7382461989215885,-0.01746550146355536,-0.03119612004358706,-0.043052684526595386,2.1908823406560214,"{""DBC"": 0.16302597782715375, ""SHY"": 0.5591554707509364, ""SPY"": 0.2778185514219098}"
